" Appointment"," OTP"," Member"," Affiliation"," Start date"," End date"," Status"
"EB Additional Members // General // Executive Board","0","PAUL, Jackson","Adelaide(Australia)","2019-03-01","2021-02-28","inactive"
"Publication Committee member // General // Publications Committee // Appointments",".15","PAUL, Jackson","Adelaide(Australia)","2021-03-01","2023-02-28","inactive"
"SCAB Member // General // Speakers Committee Advisory Board (SCAB) // Appointments",".15","PAUL, Jackson","Adelaide(Australia)","2013-03-01","2015-02-28","inactive"
"CB Chair Advisory Group member // General // Collaboration Board // Appointments","0","PAUL, Jackson","Adelaide(Australia)","2016-01-01","2017-12-31","inactive"
"Convener of subgroup: Electroweak Production // Activities and Detector Projects // Physics // Physics Analysis Groups // Supersymmetry physics group","","ANDREAS GEORGE, Petridis","Adelaide(Australia)","2016-10-01","2017-09-30","inactive"
"Convener of subgroup: RPV SUSY and Long-Lived SUSY Particles (RPV/LL) // Activities and Detector Projects // Physics // Physics Analysis Groups // Supersymmetry physics group","0","PAUL, Jackson","Adelaide(Australia)","2010-10-01","2011-09-30","inactive"
"Convener of subgroup: Electron Identification and Efficiencies // Activities and Detector Projects // Physics // Combined Performance Groups // Egamma CP group","0","ANDREAS GEORGE, Petridis","Adelaide(Australia)","2018-04-01","2018-12-31","inactive"
"Software & Computing Speakers Committee Member // Activities and Detector Projects // Software and Computing // General","0","PAUL, Jackson","Adelaide(Australia)","2019-11-11","2022-06-30","inactive"
"Convener of subgroup: Upgrade Tracking // Activities and Detector Projects // Physics // Combined Performance Groups // Tracking CP group","","VIVEK, Jain","Albany(United States of America)","2017-04-01","2018-03-31","inactive"
"Trigger Software Releases and Validation Coordinator // Activities and Detector Projects // Trigger","0","ROGER, Moore","Alberta(Canada)","2011-11-01","2014-09-30","inactive"
"MC Production Coordinator // Activities and Detector Projects // Software and Computing // ADC","0","DOUG, Gingrich","Alberta(Canada)","2015-11-01","2018-03-31","inactive"
"Convener of subgroup: Jet and Photon Processes // Activities and Detector Projects // Physics // Physics Analysis Groups // Physics Modeling group","0","NISHU, Nishu","Alberta(Canada)","2019-04-01","2021-03-31","inactive"
"FWD SSC Chair // Activities and Detector Projects // Forward Detectors // FWD Common","0","JAMES, Pinfold","Alberta(Canada)","2012-03-01","2013-02-28","inactive"
"FWD SSC Chair // Activities and Detector Projects // Forward Detectors // FWD Common","0","JAMES, Pinfold","Alberta(Canada)","2013-03-01","2014-02-28","inactive"
"FWD SSC Chair // Activities and Detector Projects // Forward Detectors // FWD Common","0","JAMES, Pinfold","Alberta(Canada)","2011-03-01","2012-02-29","inactive"
"ICB Scrutiny Group Member // Activities and Detector Projects // Software and Computing // General","","DOUG, Gingrich","Alberta(Canada)","2020-04-01","2023-03-31","inactive"
"Collaboration Board Chair // General // Collaboration Board",".3","LUCIA, Di Ciaccio","Annecy LAPP(France)","2022-01-01","2023-12-31","inactive"
"Collaboration Board Deputy Chair // General // Collaboration Board",".3","LUCIA, Di Ciaccio","Annecy LAPP(France)","2021-01-01","2021-12-31","inactive"
"Collaboration Board Deputy Chair // General // Collaboration Board",".3","LUCIA, Di Ciaccio","Annecy LAPP(France)","2024-01-01","2024-12-31","inactive"
"Deputy Spokesperson // General // ATLAS Management",".3","ISABELLE GENEVIEVE, Wingerter","Annecy LAPP(France)","2017-03-01","2019-02-28","inactive"
"LAr System Project Leader // Activities and Detector Projects // Liquid-Argon Calorimeter (LAr)",".3","ISABELLE GENEVIEVE, Wingerter","Annecy LAPP(France)","2012-03-01","2013-02-28","inactive"
"LAr System Project Leader // Activities and Detector Projects // Liquid-Argon Calorimeter (LAr)",".3","ISABELLE GENEVIEVE, Wingerter","Annecy LAPP(France)","2008-03-01","2012-02-29","inactive"
"EB Additional Members // General // Executive Board","0","ISABELLE GENEVIEVE, Wingerter","Annecy LAPP(France)","2013-03-01","2015-02-28","inactive"
"Outreach Coordinator // General // Outreach",".12","CLAIRE, Adam Bourdarios","Annecy LAPP(France)","2015-03-01","2017-02-28","inactive"
"Outreach Coordinator // General // Outreach",".12","CLAIRE, Adam Bourdarios","Annecy LAPP(France)","2017-03-01","2018-02-28","inactive"
"Publication Committee Chair // General // Publications Committee",".3","LUCIA, Di Ciaccio","Annecy LAPP(France)","2018-03-01","2019-02-28","inactive"
"Publication Committee member // General // Publications Committee // Appointments",".15","MARCO, Delmastro","Annecy LAPP(France)","2009-03-01","2011-02-28","inactive"
"Publication Committee member // General // Publications Committee // Appointments",".15","EMMANUEL, Sauvan","Annecy LAPP(France)","2023-03-01","2025-02-28","active"
"SCAB Chair // General // Speakers Committee Advisory Board (SCAB)",".15","ISABELLE GENEVIEVE, Wingerter","Annecy LAPP(France)","2016-03-01","2017-02-28","inactive"
"SCAB Member // General // Speakers Committee Advisory Board (SCAB) // Appointments",".15","ISABELLE GENEVIEVE, Wingerter","Annecy LAPP(France)","2015-03-01","2017-02-28","inactive"
"SCAB Member // General // Speakers Committee Advisory Board (SCAB) // Appointments",".15","LUCIA, Di Ciaccio","Annecy LAPP(France)","2010-03-01","2012-02-29","inactive"
"POTS Chair // General // Panel for Operation Task Sharing (POTS)",".08","ISABELLE GENEVIEVE, Wingerter","Annecy LAPP(France)","2017-03-01","2019-02-28","inactive"
"Convener Egamma CP // Activities and Detector Projects // Physics // Combined Performance Groups",".3","MARCO, Delmastro","Annecy LAPP(France)","2012-10-01","2014-09-30","inactive"
"Convener Standard Model WG // Activities and Detector Projects // Physics // Physics Analysis Groups",".3","LUCIA, Di Ciaccio","Annecy LAPP(France)","2007-10-01","2009-10-01","inactive"
"Convener Higgs WG // Activities and Detector Projects // Physics // Physics Analysis Groups",".24","NICOLAS, Berger","Annecy LAPP(France)","2022-10-01","2024-09-30","inactive"
"Convener Higgs WG // Activities and Detector Projects // Physics // Physics Analysis Groups",".24","MARCO, Delmastro","Annecy LAPP(France)","2020-09-01","2022-10-14","inactive"
"Publication Committee Deputy Chair // General // Publications Committee",".15","LUCIA, Di Ciaccio","Annecy LAPP(France)","2017-03-01","2018-02-28","inactive"
"SCAB Deputy Chair // General // Speakers Committee Advisory Board (SCAB)",".15","ISABELLE GENEVIEVE, Wingerter","Annecy LAPP(France)","2015-10-22","2016-02-29","inactive"
"CB Chair Advisory Group member // General // Collaboration Board // Appointments","0","ISABELLE GENEVIEVE, Wingerter","Annecy LAPP(France)","2004-01-01","2005-12-31","inactive"
"CB Chair Advisory Group member // General // Collaboration Board // Appointments","0","ISABELLE GENEVIEVE, Wingerter","Annecy LAPP(France)","2006-01-01","2007-12-31","inactive"
"CB Chair Advisory Group member // General // Collaboration Board // Appointments","0","JESSICA, Leveque","Annecy LAPP(France)","2020-01-01","2021-12-31","inactive"
"CB Chair Advisory Group member // General // Collaboration Board // Appointments","0","JACQUES, Colas","Annecy LAPP(France)","1998-01-01","1999-12-31","inactive"
"CB Chair Advisory Group member // General // Collaboration Board // Appointments","0","TETIANA, Hrynova","Annecy LAPP(France)","2014-01-01","2015-12-31","inactive"
"Statistics Forum Co-convener (discontinued) // Activities and Detector Projects // Physics // Statistics Forum","0","NICOLAS, Berger","Annecy LAPP(France)","2017-10-01","2018-09-30","inactive"
"Trigger E/gamma Signature Coordinator // Activities and Detector Projects // Trigger // Trigger Menu and Performance","0","NIHAL, Brahimi","Annecy LAPP(France)","2024-10-01","2025-09-30","active"
"Trigger E/gamma Signature Coordinator // Activities and Detector Projects // Trigger // Trigger Menu and Performance","0","TETIANA, Hrynova","Annecy LAPP(France)","2018-01-01","2020-06-30","inactive"
"DP - Data Quality Convener // Activities and Detector Projects // Data Preparation // Data Quality","0","JESSICA, Leveque","Annecy LAPP(France)","2012-01-01","2012-12-31","inactive"
"DP - Reprocessing Coordinator // Activities and Detector Projects // Data Preparation // Reprocessing","0","ARTUROS, Sanchez Pineda","Annecy LAPP(France)","2020-01-01","2020-12-31","inactive"
"Trigger Menu and Signature Performance Coordinator // Activities and Detector Projects // Trigger","0","TETIANA, Hrynova","Annecy LAPP(France)","2013-10-01","2015-06-30","inactive"
"Convener of subgroup: Jet and Photon Physics // Activities and Detector Projects // Physics // Physics Analysis Groups // Standard Model physics group","","MARCO, Delmastro","Annecy LAPP(France)","2010-10-01","2011-09-30","inactive"
"Convener of subgroup: Jet and Photon Physics // Activities and Detector Projects // Physics // Physics Analysis Groups // Standard Model physics group","","NAREI, Lorenzo Martinez","Annecy LAPP(France)","2015-10-01","2016-09-30","inactive"
"Convener of subgroup: Jet and Photon Physics // Activities and Detector Projects // Physics // Physics Analysis Groups // Standard Model physics group","","NAREI, Lorenzo Martinez","Annecy LAPP(France)","2016-10-01","2017-03-31","inactive"
"Convener of subgroup: HGamma (HSG1) // Activities and Detector Projects // Physics // Physics Analysis Groups // Higgs physics group","","NICOLAS, Berger","Annecy LAPP(France)","2013-04-01","2014-03-31","inactive"
"Convener of subgroup: HGamma (HSG1) // Activities and Detector Projects // Physics // Physics Analysis Groups // Higgs physics group","","MARCO, Delmastro","Annecy LAPP(France)","2016-04-01","2017-03-31","inactive"
"Convener of subgroup: HWW (HSG3) // Activities and Detector Projects // Physics // Physics Analysis Groups // Higgs physics group","","OLIVIER, Arnaez","Annecy LAPP(France)","2014-10-01","2015-09-30","inactive"
"Convener of subgroup: HComb (HSG7) // Activities and Detector Projects // Physics // Physics Analysis Groups // Higgs physics group","","NICOLAS, Berger","Annecy LAPP(France)","2016-04-01","2017-03-31","inactive"
